"Number" "Date" "Time" "Interface" "Origin" "Type" "Action" "Service" "Source Port" "Source" "Destination" "Protocol" "Rule" "Rule Name" "Current Rule Number" "User" "Information" "Product" "Source Machine Name" "Source User Name"
"3710274" "2Jun2023" "7:49:43" "eth1" "fwnetels" "Log" "Accept" "https" "50005" "SRV_CTX_XA7" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3772498" "2Jun2023" "8:39:17" "eth1" "fwnetels" "Log" "Accept" "https" "58874" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3772800" "2Jun2023" "8:39:25" "eth1" "fwnetels" "Log" "Accept" "https" "58934" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3786554" "2Jun2023" "8:54:06" "eth1" "fwnetels" "Log" "Accept" "https" "59109" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3786649" "2Jun2023" "8:54:08" "eth1" "fwnetels" "Log" "Accept" "https" "59137" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3826657" "2Jun2023" "9:24:35" "eth1" "fwnetels" "Log" "Accept" "https" "59517" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3826758" "2Jun2023" "9:24:37" "eth1" "fwnetels" "Log" "Accept" "https" "59539" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3863495" "2Jun2023" "9:57:17" "eth1" "fwnetels" "Log" "Accept" "https" "60011" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3863594" "2Jun2023" "9:57:19" "eth1" "fwnetels" "Log" "Accept" "https" "60036" "HOST_JuneauS" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"3866128" "2Jun2023" "9:59:47" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51359" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3866130" "2Jun2023" "9:59:47" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51007" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"3869840" "2Jun2023" "10:03:44" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52461" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
